Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
DOC064,Bear In Heaven,"I Love You, It's Cool",Dead Oceans,"LP, Album, Gat",,2012,3523982,Uncategorized,2019-02-25 18:10:50,,,
"DOC084, HT071",Bear In Heaven,Time Is Over One Day Old,"Dead Oceans, Hometapes","LP, Album, Whi",,2014,5949782,Uncategorized,2019-02-25 18:11:33,,,
B0025134-01,Rihanna,Anti,Def Jam Recordings,"2xLP, Album",,2016,9155571,Uncategorized,2019-03-03 15:50:26,,,
B0025456-01,Rihanna,Talk That Talk,"Def Jam Recordings, SRP Records","LP, Album",,2017,10090463,Uncategorized,2019-03-03 15:51:08,,,
DIW#76,The Six Parts Seven,Everywhere And Right Here,Devil In The Woods,"LP, Album, Red",,2004,763183,Uncategorized,2019-03-03 16:16:28,,,
dfa2164,LCD Soundsystem,Sound Of Silver,DFA,"2xLP, Album, RE, Gat",,0,12060565,Uncategorized,2019-03-03 14:57:39,,,
DIS 123V,Q And Not U,No Kill No Beep Beep,Dischord Records,"LP, Album",,2000,1091525,Uncategorized,2019-03-03 15:43:43,,,
DIS133V,Q And Not U,Different Damage,Dischord Records,"LP, Album",,2002,625044,Uncategorized,2019-03-03 15:45:05,,,
DIS143V,Q And Not U,Power,Dischord Records,"LP, Album",,2004,611748,Uncategorized,2019-03-03 15:44:09,,,
DOG-047,The Get Up Kids,Four Minute Mile,Doghouse Records (2),"LP, Album, Ltd, Whi",,2016,7956317,Uncategorized,2019-03-02 07:13:13,,,
"DOG 066, dog 066 LP",The Get Up Kids,Something To Write Home About,"Doghouse Records (2), Doghouse Records (2)","LP, Album",,1999,1262915,Uncategorized,2019-03-02 07:15:21,,,
DNO 305,Real Estate (2),Days,Domino,"LP, Album, 180",,2011,3169563,Uncategorized,2019-03-03 15:45:33,,,
DNO328,Hot Chip,In Our Heads,Domino,"LP, Lav + LP, Yel + Album, Club, RE",,2015,7112398,Uncategorized,2019-03-02 07:33:25,,,
DNO328,Hot Chip,In Our Heads,Domino,"LP, Lav + LP, Yel + Album, Club, RE",,2015,7112398,Uncategorized,2019-03-02 07:35:02,,,
DNO889 / WIGLP272X,Dirty Projectors,Swing Lo Magellan,Domino,"LP, Album, Ltd, Tip",,2012,3743616,Uncategorized,2019-03-02 05:55:31,,,
RUG825T,Middle Kids,Middle Kids,Domino,"12"", EP",,2017,9814763,Uncategorized,2019-03-03 14:54:32,,,
RUG883T,Flasher (4),Flasher,Domino,"12"", EP, Ltd, RE, Ora",,2018,12171395,Uncategorized,2019-03-02 07:02:07,,,
WIGLP162VMP,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Domino,"LP, Album, Club, RE, Gra",,2018,11826116,Uncategorized,2019-02-25 16:54:22,,,
WIGLP295,Clinic,Free Reign,Domino,"LP, Album",,2012,4013748,Uncategorized,2019-03-02 05:28:48,,,
WIGLP304,Owen Pallett,In Conflict,Domino,"LP, Album, 180",,2014,5738321,Uncategorized,2019-03-03 15:25:53,,,
WIGLP306,Julia Holter,Loud City Song,Domino,"2xLP, Album, 180",,2013,4827997,Uncategorized,2019-03-02 07:57:33,,,
WIGLP313S,Hot Chip,Why Make Sense?,Domino,"LP, Album, 150",,2015,7027493,Uncategorized,2019-03-02 07:35:59,,,
WIGLP317,Arctic Monkeys,AM,Domino,"LP, Album, 180",,2013,4904158,Uncategorized,2019-02-25 16:53:02,,,
WIGLP322,Blood Orange (2),Cupid Deluxe,Domino,"2xLP, Album",,2013,5107143,Uncategorized,2019-02-25 17:58:38,,,
WIGLP339,Arctic Monkeys,Tranquility Base Hotel + Casino,Domino,"LP, Album, 180",,2018,11977353,Uncategorized,2019-02-25 16:51:45,,,
WIGLP340,Bob Moses (5),Days Gone By,Domino,"2xLP, Album",,2015,7485879,Uncategorized,2019-02-25 18:00:05,,,
WIGLP345,Panda Bear,Panda Bear Meets The Grim Reaper,Domino,"2xLP, Album, 150",,2015,6530979,Uncategorized,2019-03-03 15:25:10,,,
WIGLP350,Alex G (2),Beach Music,Domino,"LP, Album",,2015,7571438,Uncategorized,2019-03-02 07:00:45,,,
WIGLP369,Blood Orange (2),Freetown Sound,Domino,"2xLP, Album",,2016,8922743,Uncategorized,2019-02-25 17:58:23,,,
WIGLP370,Porches (3),Pool,Domino,"LP, Album",,2016,8069944,Uncategorized,2019-03-03 15:36:10,,,
WIGLP383,Bill Ryder-Jones,Yawn,Domino,"LP, Album",,2018,12768848,Uncategorized,2019-03-03 15:48:29,,,
WIGLP393,Avey Tare,Eucalyptus,Domino,"2xLP, Album, Tip",,2017,10590827,Uncategorized,2019-02-25 16:21:37,,,
WIGLP406,Porches (3),The House,Domino,"LP, Album, Ltd, Pal",,2018,11428375,Uncategorized,2019-03-03 15:39:51,,,
WIGLP413,Superorganism,Superorganism,Domino,"LP, Album",,2018,11686097,Uncategorized,2019-03-03 16:19:32,,,
WIGLP435XM,Cat Power,Wanderer,Domino,"LP, Album, Dlx, Ltd, Bab + 7"", Ltd, Cle",,2018,12612515,Uncategorized,2019-02-25 18:26:40,,,
