Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
MRG262,Teenage Fanclub,Man-Made,Merge Records,"LP, Album, RE, 180",,2014,5954128,Uncategorized,2019-03-03 17:06:01,,,
MRG268,Destroyer (4),Destroyer's Rubies,Merge Records,"2xLP, RE, RM, Whi",,2012,3651968,Uncategorized,2019-03-02 05:42:38,,,
MRG276LP,Camera Obscura,Let's Get Out Of This Country,Merge Records,"LP, Album",,2006,1526494,Uncategorized,2019-03-02 05:33:10,,,
MRG295,Spoon,Ga Ga Ga Ga Ga,Merge Records,"LP, Album, Ltd, RE, Red",,2014,5819509,Uncategorized,2019-03-03 16:26:04,,,
MRG326,Destroyer (4),Bay Of Pigs,Merge Records,"12"", EP, Ltd",,2009,2164905,Uncategorized,2019-03-02 05:39:11,,,
MRG341,Conor Oberst,Gentleman's Pact,Merge Records,"12"", EP, Ltd",,2008,1742146,Uncategorized,2019-03-03 15:10:38,,,
MRG344,Telekinesis (2),Telekinesis!,Merge Records,"LP, Album, RE",,2013,4842791,Uncategorized,2019-03-03 16:51:12,,,
MRG349,Conor Oberst And The Mystic Valley Band,Outer South,Merge Records,"2xLP, Album",,2009,1767849,Uncategorized,2019-03-03 15:11:28,,,
MRG360,Polvo,In Prism,Merge Records,"2xLP, Album, Gat",,2009,1969040,Uncategorized,2019-03-03 15:29:03,,,
MRG366,The Love Language,Libraries,Merge Records,"LP, Album",,2010,2551451,Uncategorized,2019-03-02 08:45:15,,,
MRG369,Destroyer (4),Kaputt,Merge Records,"2xLP, Album",,2011,2673671,Uncategorized,2019-03-02 05:43:59,,,
MRG371,Destroyer (4),City Of Daughters,Merge Records,"LP, Ltd, RE, Red",,2018,12037662,Uncategorized,2019-03-02 05:40:53,,,
MRG372,Destroyer (4),Thief,Merge Records,"LP, Album, Ltd, RE, Cre",,2018,12038099,Uncategorized,2019-03-02 05:40:06,,,
MRG388,Wye Oak,My Neighbor / My Creator,Merge Records,"12"", EP, Ltd, RE",,2012,4034190,Uncategorized,2019-03-03 17:27:05,,,
MRG392,Teenage Fanclub,Shadows,Merge Records,"LP, Album, RE, 180",,2014,5966904,Uncategorized,2019-03-03 17:05:54,,,
MRG400,Wye Oak,Civilian,Merge Records,"LP, Album, RTI",,2011,2769650,Uncategorized,2019-03-03 17:27:45,,,
MRG410,Polvo,Siberia,Merge Records,"LP, Album",,2013,4957703,Uncategorized,2019-03-03 15:27:34,,,
MRG418,Times New Viking,Dancer Equired!,Merge Records,LP,,2011,2899648,Uncategorized,2019-03-03 17:05:29,,,
MRG431,Hospitality,Hospitality,Merge Records,"LP, Album",,2012,3382140,Uncategorized,2019-03-02 07:55:58,,,
MRG436,The Love Language,Ruby Red,Merge Records,LP,,2013,4756596,Uncategorized,2019-03-02 08:45:03,,,
MRG444,Telekinesis (2),Dormarion,Merge Records,"LP, Album",,2013,4442179,Uncategorized,2019-03-03 16:50:53,,,
MRG447,Eleanor Friedberger,Personal Record,Merge Records,"LP, Album",,2013,4616319,Uncategorized,2019-03-02 07:08:05,,,
MRG460,Shout Out Louds,Optica,Merge Records,"LP, Album",,2013,4324022,Uncategorized,2019-03-03 16:21:37,,,
MRG463,Radar Bros.,Eight,Merge Records,"LP, Album, Ltd + CD, Album",,2013,4164882,Uncategorized,2019-03-03 16:04:13,,,
MRG464,Coco Hames,Coco Hames,Merge Records,"LP, Album, Ltd, Gre",,2017,10044928,Uncategorized,2019-03-02 08:04:37,,,
MRG465,William Tyler,Impossible Truth,Merge Records,"2xLP, Album",,2013,4392378,Uncategorized,2019-03-03 16:52:55,,,
MRG466,Mount Moriah,Miracle Temple,Merge Records,"LP, Album",,2013,4317563,Uncategorized,2019-03-03 14:45:34,,,
MRG470,Reigning Sound,Shattered,Merge Records,"LP, Album",,2014,5853470,Uncategorized,2019-03-03 16:05:51,,,
MRG471,Hospitality,Trouble,Merge Records,"LP, Album",,2014,5340564,Uncategorized,2019-03-02 07:56:09,,,
MRG474,She & Him,Volume 3,Merge Records,"LP, Album, Ltd, Rob",,2013,4540274,Uncategorized,2019-03-03 16:45:26,,,
MRG475,Mikal Cronin,MCII,Merge Records,"LP, Album",,2013,4537725,Uncategorized,2019-02-25 18:32:34,,,
MRG480,Superchunk,I Hate Music,Merge Records,"LP, Album, Ora + 7"", Whi + Ltd",,2013,4822828,Uncategorized,2019-03-03 16:09:54,,,
MRG481,The Mountain Goats,All Hail West Texas,Merge Records,"LP, Album, RE, RM",,2013,4748918,Uncategorized,2019-03-03 14:53:14,,,
MRG486,King Khan & His Shrines,Idle No More,Merge Records,"LP, Album",,2013,4885488,Uncategorized,2019-03-02 08:38:24,,,
MRG488,Caribou,Our Love,Merge Records,"LP, Album, 180",,2014,6148737,Uncategorized,2019-02-25 18:31:45,,,
MRG492,Teenage Fanclub,Here,Merge Records,"LP, Album, Ltd, Cle",,2016,8992655,Uncategorized,2019-03-03 17:06:16,,,
MRG494,Vertical Scratchers,Daughter Of Everything,Merge Records,"LP, Album",,2014,5479581,Uncategorized,2019-03-03 17:10:21,,,
MRG498,Destroyer (4),Five Spanish Songs,Merge Records,"12"", EP",,2013,5127566,Uncategorized,2019-02-25 14:53:43,,,
"MRG500, MRG501, MRG502, MRG503, MRG504,, MRG505, M",Various,"""Or Thousands Of Prizes"" Limited Edition 7-inch Subscription Box Set",Merge Records,"12"", EP + CD, Comp + 12x7"", Ltd, Num, box",,2014,7404445,Uncategorized,2019-03-03 15:07:19,,,
MRG518,William Tyler,Lost Colony,Merge Records,"12"", EP",,2014,5664830,Uncategorized,2019-03-03 16:53:23,,,
MRG519,David Kilgour And The Heavy Eights,End Times Undone,Merge Records,"LP, Album",,2014,5959629,Uncategorized,2019-03-02 08:29:58,,,
MRG521,Spider Bags,Frozen Letter,Merge Records,"LP, Album, Red",,2014,5938487,Uncategorized,2019-03-03 16:19:03,,,
MRG523,Hiss Golden Messenger,Lateness Of Dancers,Merge Records,"LP, Album",,2014,6040289,Uncategorized,2019-03-02 08:08:07,,,
MRG525,Ex Hex,Rips,Merge Records,"LP, Album",,2014,6152270,Uncategorized,2019-03-02 06:08:39,,,
MRG527,Titus Andronicus,The Most Lamentable Tragedy,Merge Records,"2xLP + 12"" + Album",,2015,7274080,Uncategorized,2019-02-25 14:52:08,,,
MRG530,HeCTA,The Diet,Merge Records,"LP, Album, Ltd, Red",,2015,7477566,Uncategorized,2019-03-02 08:07:48,,,
MRG536,Mount Moriah,How To Dance,Merge Records,"LP, Album, Ltd, Cok",,2016,8156777,Uncategorized,2019-03-03 14:46:04,,,
MRG537,Little Scream,Cult Following,Merge Records,"LP, Album, Ltd, Blu",,2016,8491279,Uncategorized,2019-03-03 14:56:10,,,
MRG538,The Twerps (2),Range Anxiety,Merge Records,"LP, Album",,2015,6573604,Uncategorized,2019-03-03 16:53:39,,,
MRG544,Telekinesis (2),Ad Infinitum,Merge Records,"LP, Album, Ltd, Whi",,2015,7486455,Uncategorized,2019-03-03 16:50:29,,,
MRG545,William Tyler,Modern Country,Merge Records,"LP, Album",,2016,8595436,Uncategorized,2019-03-03 17:06:37,,,
MRG549,Waxahatchee,Ivy Tripp,Merge Records,"LP, Album, Ltd, Whi",,2015,6859820,Uncategorized,2019-03-03 17:21:14,,,
MRG551,Benji Hughes,Songs In The Key Of Animals,Merge Records,"LP, Album",,2016,8050808,Uncategorized,2019-03-02 08:07:10,,,
MRG555,Mac McCaughan,Non-Believers,Merge Records,"LP, Album",,2015,6967162,Uncategorized,2019-03-03 15:00:26,,,
MRG562,A Giant Dog,Pile,Merge Records,"LP, Album",,2016,8520079,Uncategorized,2019-03-02 07:17:32,,,
MRG564,Wye Oak,Tween,Merge Records,"LP, Album",,2016,8842039,Uncategorized,2019-03-03 17:26:47,,,
MRG565,Spoon,Gimme Fiction,Merge Records,"2xLP, Album, Dlx, RE, RM, 180",,2015,7829258,Uncategorized,2019-03-03 16:22:31,,,
MRG569,Destroyer (4),Poison Season,Merge Records,"2xLP, Album, Ltd, Cle",,2015,7397293,Uncategorized,2019-03-02 05:44:47,,,
MRG571,Destroyer (4),My Mystery,Merge Records,"12""",,2016,8464352,Uncategorized,2019-03-02 05:44:23,,,
MRG572,Titus Andronicus,S+@dium Rock: Five Nights at the Opera,Merge Records,"LP, Album",,2016,8897946,Uncategorized,2019-03-03 16:52:16,,,
MRG577,Sneaks (4),Gymnastics,Merge Records,"LP, Album, RE",,2016,9069889,Uncategorized,2019-03-03 16:38:00,,,
MRG578,Sneaks (4),It's A Myth,Merge Records,"LP, Album, Ltd, Cle",,2017,10015476,Uncategorized,2019-03-03 16:37:48,,,
MRG584,Allison Crutchfield,Tourist In This Town,Merge Records,"LP, Album, Hot",,2017,9720282,Uncategorized,2019-03-02 05:28:10,,,
MRG585,Ibibio Sound Machine,Uyai,Merge Records,"LP, Album, Ltd, Blu",,2017,9901375,Uncategorized,2019-03-02 08:16:09,,,
MRG592,A Giant Dog,Toy,Merge Records,"LP, Album, Ltd, Lip",,2017,10740811,Uncategorized,2019-03-02 07:17:17,,,
MRG594,Waxahatchee,Out In The Storm,Merge Records,"LP + LP, Whi + Album, Dlx, Ltd",,2017,10553985,Uncategorized,2019-03-03 17:22:00,,,
MRG608,Ought,Room Inside The World,Merge Records,"LP, Album",,2018,11577980,Uncategorized,2019-03-03 15:07:59,,,
MRG615,Wye Oak,"The Louder I Call, The Faster It Runs",Merge Records,"LP, Album",,2018,11825968,Uncategorized,2019-03-03 17:26:34,,,
MRG617,Various,I Only Listen To The Mountain Goats: All Hail West Texas,Merge Records,"LP, Pin + LP, Blu + Album, Comp, Ltd",,2018,11807232,Uncategorized,2019-03-03 14:54:12,,,
mrg654,Swearin',Fall Into The Sun,Merge Records,"LP, Album, Ltd, Cok",,2018,12612486,Uncategorized,2019-03-03 16:18:34,,,
"MRG570, DOC107LP",Destroyer (4),Forces From Above,"Merge Records, Dead Oceans","12"", Single",,2015,7400142,Uncategorized,2019-03-02 05:39:50,,,
"MRG052, MRG 052",Breadwinner,Burner,"Merge Records, Merge Records","12"", Comp, Ltd",,2014,5612036,Uncategorized,2019-02-25 18:13:23,,,
"MRG075, MRG075-1, MRG075-2",The Magnetic Fields,The Wayward Bus / Distant Plastic Trees,"Merge Records, Merge Records, Merge Records","LP, Album, RE, RM + LP, Album, RE, RM + Comp, RE, ",,2016,9322543,Uncategorized,2019-03-03 14:50:10,,,
"MRG267, POINT017LP",The Clientele,Strange Geometry,"Merge Records, Pointy","LP, Album, RE",,2016,8490551,Uncategorized,2019-03-02 05:29:54,,,
MRG385,Arcade Fire,The Suburbs,"Merge Records, Sonovox Records","2xLP, Album, Gat",,2010,2380004,Uncategorized,2019-02-25 17:11:14,,,
MRG485A,Arcade Fire,Reflektor,"Merge Records, Sonovox Records","2xLP, Album, 180",,2013,5041370,Uncategorized,2019-02-25 16:55:17,,,
MEX 053,Best Coast,Crazy For You,Mexican Summer,"LP, Album",,2010,3229084,Uncategorized,2019-02-25 17:46:24,,,
MODVL172,Cut Copy,Bright Like Neon Love,Modular Recordings,"LP, Album",,2013,4491753,Uncategorized,2019-03-02 05:35:03,,,
MP160-1,Courtney Barnett,The Double EP: A Sea Of Split Peas,Mom + Pop,"2xLP, EP, Comp",,2014,6534663,Uncategorized,2019-02-25 18:16:31,,,
"MP221-1, none",Courtney Barnett,"Sometimes I Sit And Think, And Sometimes I Just Sit","Mom + Pop, Marathon Artists, House Anxiety Records, Milk! Records","LP, Album",,2015,6812151,Uncategorized,2019-02-25 18:16:15,,,
9420-1,A Place To Bury Strangers,Exploding Head,Mute,"LP, Album, Ltd, Cle",,2009,1957472,Uncategorized,2019-02-25 17:12:11,,,
ZEN140,Bonobo,Black Sands,Ninja Tune,"2xLP, Album, Ltd, 180",,2010,2191572,Uncategorized,2019-02-25 17:55:22,,,
ZEN236X,Bonobo,Migration,Ninja Tune,"2xLP, Album, Dlx, 180",,2017,9646658,Uncategorized,2019-02-25 17:56:57,,,
NIR-160,Alkaline Trio / Hot Water Music,Alkaline Trio / Hot Water Music,No Idea Records,"12"", EP, Pic, RE, Gol",,2012,4347829,Uncategorized,2019-02-25 17:34:42,,,
no idea 113,Planes Mistaken For Stars,Fuck With Fire,No Idea Records,"LP, Album, RP, Red",,2001,3666430,Uncategorized,2019-03-03 15:32:04,,,
NO IDEA 129,Against Me!,Reinventing Axl Rose,No Idea Records,"LP, Album, RP, Red",,2013,6869051,Uncategorized,2019-02-25 17:27:03,,,
NO IDEA 166,Planes Mistaken For Stars,Up In Them Guts,No Idea Records,"LP, Album",,2004,1316225,Uncategorized,2019-03-03 15:32:55,,,
KRI-002,Krill (4),Lucky Leaves,Not On Label,"LP, two",,2013,4870695,Uncategorized,2019-03-02 08:23:50,,,
NB-001,Mac McCaughan,Staring At Your Hologram,Not On Label,"LP, Ltd, Num, Tra",,2016,8110316,Uncategorized,2019-03-03 15:00:46,,,
659696448810,David Bazan,Care,Not On Label (David Bazan Self-released),"LP, Album",,2017,10362149,Uncategorized,2019-02-25 18:19:59,,,
none,David Bazan + Passenger String Quartet,Volume 1,Not On Label (David Bazan Self-released),"LP, Album",,2014,6070514,Uncategorized,2019-02-25 18:20:23,,,
"none, MT023",Potty Mouth,Hell Bent,"Old Flame Records, Marshall Teller Records","LP, Album, Ltd, Pin",,2013,5503530,Uncategorized,2019-03-03 15:23:09,,,
OM-009-01,Mutual Benefit,Love's Crushing Diamond,Other Music Recording Co.,"LP, Album, RE",,2014,5287859,Uncategorized,2019-03-03 14:49:16,,,
PDCD 019,The Velvet Teen,Cum Laude!,Pandacide,"LP, Album",,2006,3404985,Uncategorized,2019-03-03 17:14:07,,,
88985446751,Beyoncé,Lemonade,"Parkwood Entertainment, Columbia","2xLP, Album, Yel",,2017,10781508,Uncategorized,2019-02-25 18:01:02,,,
"7243 5 40504 1 1, 540 5041",Coldplay,A Rush Of Blood To The Head,"Parlophone, Parlophone","LP, Album, RE",,2002,5696646,Uncategorized,2019-02-25 18:31:26,,,
PTKF2109-1,Eagulls,Eagulls,Partisan Records,"LP, Album",,2014,5466148,Uncategorized,2019-03-02 06:10:22,,,
PTKF2134-1,Eagulls,Ullages,Partisan Records,"LP, Album",,2016,8514114,Uncategorized,2019-03-02 06:09:25,,,
PTKF2113-1,Sylvan Esso,Sylvan Esso,"Partisan Records, Trekky Records","LP, Album",,2014,5681803,Uncategorized,2019-03-03 16:17:20,,,
PFG134,Little Dragon,Machine Dreams,Peacefrog Records,"LP, Album, RE",,2015,7435975,Uncategorized,2019-03-02 08:44:45,,,
PE7,The Rosebuds,The Rosebuds Make Out,Pidgeon English,LP,,2003,1790117,Uncategorized,2019-03-03 15:55:01,,,
PRC - 336,Rainer Maria,S/T,Polyvinyl Record Company,"LP, Album, 180",,2017,10716968,Uncategorized,2019-03-03 16:05:31,,,
PRC-024-1,Rainer Maria,Look Now Look Again,Polyvinyl Record Company,"LP, Album",,1999,2208628,Uncategorized,2019-03-03 16:04:56,,,
PRC-057,Rainer Maria,Long Knives Drawn,Polyvinyl Record Company,"LP, RE, 180",,2018,12798215,Uncategorized,2019-03-03 16:05:15,,,
PRC-065-1,Mates Of State,Team Boo,Polyvinyl Record Company,"LP, Album",,2003,1337994,Uncategorized,2019-03-03 14:52:50,,,
PRC-209-1,Deerhoof,Deerhoof Vs. Evil,Polyvinyl Record Company,"LP, Album",,2011,2737387,Uncategorized,2019-03-02 05:53:38,,,
PRC-268,Of Montreal,Lousy With Sylvianbriar,Polyvinyl Record Company,"LP, Album, Pin",,2013,4976347,Uncategorized,2019-03-03 15:09:30,,,
PRC-282,Alvvays,Alvvays,Polyvinyl Record Company,"LP, Album, Blu",,2014,12561007,Uncategorized,2019-02-25 17:35:59,,,
PRC-333,Palehound,A Place I'll Always Go,Polyvinyl Record Company,"LP, Album, Ltd, Pin",,2017,10435103,Uncategorized,2019-03-03 15:35:13,,,
PRC-334,Alvvays,Antisocialites,Polyvinyl Record Company,"LP, Album, Yel",,2017,10814628,Uncategorized,2019-02-25 17:36:58,,,
PPR 022,John Vanderslice,Cellar Door,Post-Parlo Records,"LP, 180",,2004,3517643,Uncategorized,2019-03-03 17:08:04,,,
"PPR-005, RTS 019, FM-08",Potty Mouth,Sun Damage,"Puzzle Pieces Records, Ride The Snake, Feeble Minds Records","12""",,2012,3768185,Uncategorized,2019-03-03 15:21:21,,,
07863 68045-1,The Strokes,Is This It,RCA,"LP, Album, RE, RM, 180",,2014,6925275,Uncategorized,2019-03-03 16:41:36,,,
RBN041LP,Lower Dens,Escape From Evil,Ribbon Music,"LP, Album",,2015,6828342,Uncategorized,2019-03-02 08:45:51,,,
RBN082LPX ,John Maus,John Maus,Ribbon Music,"LP, Album, RM, Red + LP, Album, RM, Pin + LP, Albu",,2018,11858982,Uncategorized,2019-03-03 14:59:30,,,
RBN021,Django Django,Django Django,"Ribbon Music, Because Music","2xLP, Album, Ltd",,2012,4034179,Uncategorized,2019-03-02 05:54:34,,,
RT0001LP,Parquet Courts,Wide Awake!,Rough Trade,"LP, Album",,2018,12009384,Uncategorized,2019-03-03 15:11:51,,,
RFC 156,Hey Mercedes,Everynight Fire Works,Run For Cover Records (2),"2xLP, Album, Ltd, RM, Cle",,2016,8785162,Uncategorized,2019-03-02 08:09:41,,,
RTJ003LP,Run The Jewels,Run The Jewels 3,"Run The Jewels, Inc.","2xLP, Album, Gol",,2017,9653096,Uncategorized,2019-03-03 15:52:49,,,
LBJ 208,The Good Life,Novena On A Nocturn,Saddle Creek,"LP, Album, RE",,2015,6832420,Uncategorized,2019-03-02 07:19:25,,,
LBJ-102,Maria Taylor,Lynn Teeter Flower,Saddle Creek,"LP, Album, Gol",,2015,6914279,Uncategorized,2019-03-03 17:03:17,,,
LBJ-110,Georgie James,Places,Saddle Creek,"LP, Album",,2007,2255971,Uncategorized,2019-03-02 07:18:28,,,
lbj-126,Land Of Talk,Some Are Lakes,Saddle Creek,"LP, Album",,2008,2395015,Uncategorized,2019-03-02 08:40:41,,,
LBJ-180,The Faint,Danse Macabre,Saddle Creek,"2xLP, Album, RE, RM, 180 + CD, Album, RM + CD, Com",,2012,4018309,Uncategorized,2019-03-02 07:04:04,,,
LBJ-185,Cursive,The Ugly Organ,Saddle Creek,"LP, Album, RM + LP, Comp + Dlx, Ltd, 180",,2014,6289050,Uncategorized,2019-02-25 18:36:24,,,
LBJ-218,Hop Along,Painted Shut,Saddle Creek,"LP, Album",,2015,9658590,Uncategorized,2019-03-02 08:05:34,,,
LBJ-222,Hop Along,Get Disowned,Saddle Creek,"LP, Album, RE, Blu",,2016,8128092,Uncategorized,2019-03-02 08:06:26,,,
LBJ-233,Big Thief,Masterpiece,Saddle Creek,"LP, Album",,2016,8568768,Uncategorized,2019-02-25 17:59:38,,,
LBJ-255,Big Thief,Capacity,Saddle Creek,"LP, Album, Gat",,2017,10418995,Uncategorized,2019-02-25 17:59:16,,,
LBJ-258,Land Of Talk,Life After Youth,Saddle Creek,"LP, Album",,2017,10312859,Uncategorized,2019-03-02 08:41:22,,,
LBJ-263,Hop Along,"Bark Your Head Off, Dog",Saddle Creek,"LP, Album",,2018,11817163,Uncategorized,2019-03-02 08:06:01,,,
LBJ-31,Cursive,Domestica,Saddle Creek,"LP, Album, RE, RM, Red",,2009,2579249,Uncategorized,2019-02-25 18:35:05,,,
LBJ-32,Bright Eyes,Fevers And Mirrors,Saddle Creek,"2xLP, Album, RE, 180 + CD, Album",,2012,3531432,Uncategorized,2019-02-25 17:40:02,,,
LBJ-35,Cursive,Burst And Bloom,Saddle Creek,"12"", EP, RE, Tra",,2012,3985947,Uncategorized,2019-03-02 05:27:19,,,
LBJ-42,Desaparecidos,"Read Music, Speak Spanish",Saddle Creek,"LP, Album, RE, 180",,2015,9450468,Uncategorized,2019-03-02 05:49:44,,,
LBJ-43,The Good Life,Black Out,Saddle Creek,"LP, Album, RE, 180",,2015,6832307,Uncategorized,2019-03-02 07:18:47,,,
LBJ-46,Bright Eyes,"Lifted Or The Story Is In The Soil, Keep Your Ear To The Ground",Saddle Creek,"2xLP, Album",,2002,642535,Uncategorized,2019-02-25 17:43:00,,,
LBJ-47,Rilo Kiley,The Execution Of All Things,Saddle Creek,"LP, Album, RP, 180",,2007,5411566,Uncategorized,2019-03-03 15:46:47,,,
LBJ-51,Cursive,The Ugly Organ,Saddle Creek,"LP, Album, RE, Gre",,2003,741274,Uncategorized,2019-02-25 18:37:12,,,
LBJ-64,The Good Life,Album Of The Year,Saddle Creek,"2xLP, Album, RE",,2015,6832503,Uncategorized,2019-03-02 07:21:20,,,
LBJ-74,Maria Taylor,11:11,Saddle Creek,"LP, Album, RE, Blu",,2015,6914259,Uncategorized,2019-03-03 17:02:23,,,
"LBJ-143, LBJ-149",Land Of Talk,Cloak And Cipher,"Saddle Creek, Saddle Creek","LP, Album + 12"", S/Sided, EP, Etch",,2010,2460406,Uncategorized,2019-03-02 08:42:18,,,
SAL-044,Swearin',Swearin',Salinas Records,"LP, Album",,2012,3844345,Uncategorized,2019-03-03 16:18:22,,,
SC276,Dungeonesse,Dungeonesse,Secretly Canadian,"LP, Album",,2013,4589994,Uncategorized,2019-03-02 05:50:20,,,
SB169,Amanda X,Amnesia,Siltbreeze,"LP, Album",,2014,5997992,Uncategorized,2019-02-25 17:17:27,,,
"1-25186, 9 25186-1",Talking Heads,Stop Making Sense,"Sire, Sire","LP, Album, Spe",,1984,266652,Uncategorized,2019-03-03 17:04:15,,,
SPR-017,Snail Mail (2),Habit,Sister Polygon Records,"12"", EP",,2017,10572350,Uncategorized,2019-03-03 16:27:19,,,
SPR-021,Priests (2),Nothing Feels Natural,Sister Polygon Records,"LP, Album",,2017,9683120,Uncategorized,2019-03-03 15:29:52,,,
"SPR008, DG-84",Priests (2),Bodies And Control And Money And Power,"Sister Polygon Records, Don Giovanni Records","12""",,2014,5765173,Uncategorized,2019-03-03 15:29:39,,,
"Slow 019, PDCD 017",The Velvet Teen,Elysium,"Slowdance Records, Pandacide","2x10"", Album, Ltd",,2005,2061098,Uncategorized,2019-03-03 17:12:42,,,
001,Flesh Wounds,Flesh Wounds,Snot Releases,LP,,2014,5951227,Uncategorized,2019-03-02 07:09:35,,,
82796 90920 1,Beyoncé,B'Day,"Sony Urban Music, Columbia, Music World Music (2)","2xLP, Album, 180",,2006,1837994,Uncategorized,2019-02-25 18:02:22,,,
18534-1,Karate,Karate,Southern Records,"LP, Album",,1995,653483,Uncategorized,2019-03-02 08:25:35,,,
28124-1,Karate,595,Southern Records,"2xLP, Gat",,2007,1687645,Uncategorized,2019-03-02 08:24:25,,,
88875075121,Bully (10),Feels Like,"Startime International, Columbia","LP, Album",,2015,7138610,Uncategorized,2019-02-25 17:37:37,,,
SFR 009,Brandtson,Trying To Figure Each Other Out,Steadfast Records,LP,,2000,769163,Uncategorized,2019-02-25 18:13:59,,,
SP 1081,Chad VanGaalen,Shrink Dust,Sub Pop,"LP, Album",,2014,5658702,Uncategorized,2019-03-03 17:10:51,,,
SP 1103,Sleater-Kinney,Sleater-Kinney,Sub Pop,"LP, Album, RE, RM",,2014,7986320,Uncategorized,2019-03-03 16:42:17,,,
SP 1104,Sleater-Kinney,Call The Doctor,Sub Pop,"LP, Album, RE, RM",,2014,6216481,Uncategorized,2019-03-03 16:42:24,,,
SP 1105,Sleater-Kinney,Dig Me Out,Sub Pop,"LP, Album, RE, RM",,2014,6216489,Uncategorized,2019-03-03 16:42:50,,,
SP 1106,Sleater-Kinney,The Hot Rock,Sub Pop,"LP, Album, RE, RM",,2014,6216502,Uncategorized,2019-03-03 16:43:00,,,
SP 655,Wolf Parade,Apologies To The Queen Mary,Sub Pop,"LP, Album",,2005,1046869,Uncategorized,2019-03-03 17:26:03,,,
SP 703,The Thermals,The Body The Blood The Machine,Sub Pop,"LP, RE",,2013,5828699,Uncategorized,2019-03-03 16:51:50,,,
SP1100,Sleater-Kinney,No Cities To Love,Sub Pop,"LP, Album, Gat",,2015,6565242,Uncategorized,2019-03-03 16:44:18,,,
SP1206,Downtown Boys (2),Cost Of Living,Sub Pop,"LP, Album",,2017,10683035,Uncategorized,2019-03-02 05:56:51,,,
SP1206,Downtown Boys (2),Cost Of Living,Sub Pop,"LP, Album",,2017,10683035,Uncategorized,2019-03-02 05:57:09,,,
"SP 777, SP 781",Fleet Foxes,Fleet Foxes,"Sub Pop, Sub Pop","LP, Album + 12"", EP",,2008,1359927,Uncategorized,2019-03-02 07:09:14,,,
S 045,Headphones (2),Headphones,Suicide Squeeze,"LP, Album, Ltd, RE, RP, Whi",,2015,7057010,Uncategorized,2019-03-02 07:28:54,,,
S-026,Hella,Bitches Aint Shit But Good People,Suicide Squeeze,"12"", EP, Gre",,2003,1192114,Uncategorized,2019-03-02 08:04:07,,,
S-047,Minus The Bear,Menos El Oso,Suicide Squeeze,"LP, Album, Ltd, RE, Yel",,2015,7665388,Uncategorized,2019-03-03 14:48:30,,,
S-074,Minus The Bear,They Make Beer Commercials Like This,Suicide Squeeze,"12"", EP, RE, Cle",,2008,1387602,Uncategorized,2019-03-03 14:48:01,,,
S100,Various,Suicide Squeeze Records Presents:Forever Singles,Suicide Squeeze,"LP, Comp, Ltd, Num, Gre",,2014,5425529,Uncategorized,2019-03-03 16:27:54,,,
S149,David Bazan,Christmas Bonus,Suicide Squeeze,"12"", S/Sided, Etch, Ltd, Whi",,2016,9308889,Uncategorized,2019-02-25 18:19:19,,,
S150,David Bazan,Dark Sacred Night,Suicide Squeeze,"LP, Album, Ltd, Blu",,2016,9308769,Uncategorized,2019-02-25 18:18:39,,,
"TBD0001, 88088-21623-1",Radiohead,In Rainbows,"TBD Records, RED Distribution","LP, Album",,2008,1187003,Uncategorized,2019-03-03 16:00:08,,,
TR015,Solange (2),True,Terrible Records (2),"12"", EP",,2013,4174227,Uncategorized,2019-03-03 16:37:31,,,
TRLP038,Empress Of,Me,Terrible Records (2),"LP, Album",,2015,7421027,Uncategorized,2019-03-02 06:59:05,,,
THRILL 235,Future Islands,In Evening Air,Thrill Jockey,"LP, Album, RP",,2010,6913996,Uncategorized,2019-03-02 07:06:02,,,
THRILL186,The Sea And Cake,Everybody,Thrill Jockey,"LP, Album",,2007,977760,Uncategorized,2019-03-03 16:21:12,,,
TE 144,Haybaby,Sleepy Kids,Tiny Engines,"LP, Album, Whi",,2015,7799857,Uncategorized,2019-03-02 07:58:01,,,
TSR126,The Velvet Teen,All Is Illusory,Topshelf Records (2),"2xLP, Album, Ltd, Sil",,2015,7268207,Uncategorized,2019-03-03 17:14:30,,,
tg194,The Black Heart Procession,2,Touch And Go,"LP, Album",,1999,668060,Uncategorized,2019-02-25 18:15:08,,,
TG302,Ted Leo / Pharmacists,Living With The Living,Touch And Go,"2xLP, Album",,2007,1133426,Uncategorized,2019-03-03 16:54:38,,,
TRK043,Sylvan Esso,Hey Mami,Trekky Records,"12"", Single",,2013,4929567,Uncategorized,2019-03-03 16:17:52,,,
032161,Foxing,Nearer My God,"Triple Crown Records, Four Stock Records","2xLP, Album, Gol",,2018,12368635,Uncategorized,2019-03-02 07:02:51,,,
none,Brand New,Deja Entendu,"Triple Crown Records, Procrastinate! Music Traitors, Razor & Tie","2xLP, Album, RE, 180",,2015,6963308,Uncategorized,2019-02-25 18:07:20,,,
UP 006,Built To Spill,There's Nothing Wrong With Love,Up Records (5),"LP, Album, Ltd, RE, Cre",,2015,7640896,Uncategorized,2019-02-25 17:53:02,,,
UC-23,Stef Chura,Messes,Urinal Cake Records,"LP, Album",,2017,9749085,Uncategorized,2019-02-25 18:32:03,,,
CSDLP 1154,Saves The Day,Stay What You Are,Vagrant Records,"LP, Album",,2011,11133934,Uncategorized,2019-03-03 16:11:28,,,
